order_id,customer_id,product_id,order_date,region,quantity,price,total_amount
O00035,C0196,P0427,2025-08-21,North,4,351.01,1404.04
O00036,C1826,P0011,2025-05-19,North,3,593.65,1780.95
O00037,C0315,P0408,2024-10-25,North,3,395.68,1187.04
O00038,C0018,P0146,2023-11-08,South,1,1579.43,1579.43
O00039,C1437,P0382,2024-09-06,North,1,1153.49,1153.49
O00040,C1490,P0356,2024-02-12,West,4,1957.7,7830.8
O00041,C0374,P0396,2024-11-29,North,2,1220.02,2440.04
O00042,C0593,P0454,2025-05-05,North,2,1314.94,2629.88
O00043,C2000,P0253,2025-04-26,North,4,1753.65,7014.6
O00044,C0895,P0471,2024-08-10,West,1,1571.42,1571.42
O00045,C0245,P0169,2025-05-28,West,5,1557.23,7786.15
O00046,C0504,P0456,2024-11-19,East,5,875.85,4379.25
O00047,C1687,P0442,2025-02-07,North,4,1420.16,5680.64
O00048,C1281,P0344,2024-02-15,South,4,1392.72,5570.88
O00049,C1900,P0011,2023-11-10,South,3,1966.85,5900.55
O00050,C0926,P0129,2023-11-26,East,3,1864.75,5594.25
O00051,C0866,P0023,2024-08-17,East,4,429.65,1718.6
O00052,C0985,P0032,2023-11-27,West,2,489.03,978.06
O00053,C0655,P0036,2023-09-05,North,1,1930.35,1930.35
O00054,C1495,P0464,2023-12-22,East,2,1862.29,3724.58
O00055,C0337,P0061,2023-11-02,South,4,1811.05,7244.2
O00056,C0913,P0111,2024-12-25,East,4,103.54,414.16
O00057,C1092,P0302,2024-01-11,North,4,431.68,1726.72
O00058,C1216,P0213,2025-03-12,South,4,171.55,686.2
O00059,C0016,P0087,2024-10-17,East,1,1866.09,1866.09
O00060,C0909,P0241,2025-06-29,West,2,1449.43,2898.86
O00061,C1705,P0472,2024-04-05,West,2,1072.8,2145.6
O00062,C0539,P0466,2024-02-10,East,4,1482.2,5928.8
O00063,C0899,P0364,2024-03-29,West,3,1271.12,3813.36
O00064,C1457,P0171,2023-09-06,East,5,1425.25,7126.25
O00065,C1865,P0143,2025-03-21,West,2,1978.17,3956.34
O00066,C1803,P0307,2023-09-09,North,2,591.22,1182.44
O00067,C1288,P0034,2025-02-07,West,1,880.56,880.56
O00068,C0885,P0215,2025-03-01,North,1,569.98,569.98
O00069,C1869,P0117,2025-04-03,West,3,1624.99,4874.97
O00070,C1863,P0116,2025-02-02,West,3,1630.11,4890.33
O00071,C1815,P0427,2024-10-20,West,3,1971.28,5913.84
O00072,C1767,P0418,2025-05-11,West,3,1436.46,4309.38
O00073,C1857,P0171,2024-06-20,West,3,1447.44,4342.32
O00074,C0410,P0123,2024-07-03,North,2,1933.7,3867.4
O00075,C1891,P0053,2024-02-20,West,3,387.1,1161.3
O00076,C0948,P0273,2025-05-17,South,3,1820.87,5462.61
O00077,C1842,P0088,2025-04-08,South,5,1302.27,6511.35
O00078,C0849,P0224,2024-01-09,South,4,379.75,1519.0
O00079,C0102,P0460,2024-12-24,South,2,875.05,1750.1
O00080,C0416,P0322,2025-01-24,North,2,1640.54,3281.08
O00081,C1052,P0462,2025-06-06,West,3,1399.48,4198.44
O00082,C1735,P0307,2025-01-01,North,3,1145.21,3435.63
O00083,C0580,P0328,2025-04-02,South,5,1737.76,8688.8
O00084,C0276,P0155,2025-07-26,South,5,74.47,372.35
O00085,C0660,P0331,2024-04-30,East,5,116.12,580.6
O00086,C1941,P0069,2025-04-22,West,3,1823.37,5470.11
O00087,C1736,P0130,2024-04-10,East,2,1485.2,2970.4
O00088,C0156,P0377,2025-04-23,North,3,1266.81,3800.43
O00089,C1898,P0381,2023-10-03,North,5,681.77,3408.85
O00090,C1102,P0081,2025-04-23,West,1,1879.74,1879.74
O00091,C1389,P0299,2025-08-13,West,2,523.08,1046.16
O00092,C1163,P0018,2023-11-20,East,1,74.7,74.7
O00093,C0377,P0211,2025-04-19,South,5,773.43,3867.15
O00094,C1661,P0300,2023-12-20,North,4,1077.94,4311.76
O00095,C1797,P0108,2023-10-26,South,4,880.62,3522.48
O00096,C0143,P0109,2024-05-18,East,4,1752.36,7009.44
O00097,C1967,P0317,2023-11-16,South,2,1525.23,3050.46
O00098,C1777,P0434,2024-05-06,North,2,1860.22,3720.44
O00099,C0313,P0052,2024-04-18,South,4,545.53,2182.12
O00100,C1984,P0227,2024-10-12,West,1,896.62,896.62
O00101,C0282,P0344,2023-09-22,North,3,1864.81,5594.43
O00102,C1571,P0156,2023-11-25,West,3,1874.9,5624.7
O00103,C1884,P0049,2024-11-03,West,5,705.85,3529.25
O00104,C0769,P0470,2024-06-25,South,3,973.16,2919.48
O00105,C1364,P0319,2024-02-26,South,2,1020.94,2041.88
O00106,C1598,P0312,2024-10-21,West,5,934.29,4671.45
O00107,C1081,P0319,2024-04-14,West,4,1753.13,7012.52
O00108,C0060,P0224,2025-02-11,East,3,1833.69,5501.07
O00109,C1252,P0300,2024-07-18,West,3,726.37,2179.11
O00110,C0986,P0221,2025-05-07,South,1,1356.9,1356.9
O00111,C1700,P0096,2025-05-25,West,3,1808.57,5425.71
O00112,C1385,P0432,2023-09-12,North,5,62.11,310.55
O00113,C0907,P0214,2025-01-01,North,5,1220.6,6103.0
O00114,C1885,P0101,2024-06-22,South,4,1625.7,6502.8
O00115,C0373,P0159,2025-02-11,South,4,1519.29,6077.16
O00116,C0275,P0454,2024-03-21,South,3,1952.23,5856.69
O00117,C1789,P0039,2023-10-01,North,1,1424.52,1424.52
O00118,C1812,P0184,2025-03-23,North,1,1775.39,1775.39
O00119,C1685,P0037,2024-09-29,West,4,136.82,547.28
O00120,C0230,P0339,2023-10-03,North,1,1779.84,1779.84
O00121,C1915,P0466,2025-02-07,East,5,947.67,4738.35
O00122,C0868,P0152,2024-10-02,West,4,1257.19,5028.76
O00123,C1773,P0472,2025-05-30,West,2,915.32,1830.64
O00124,C0256,P0389,2023-12-12,East,1,526.2,526.2
O00125,C0508,P0285,2024-03-07,West,1,1782.64,1782.64
O00126,C0243,P0163,2025-02-26,West,4,1756.51,7026.04
O00127,C0384,P0308,2024-04-13,West,2,976.75,1953.5
O00128,C1537,P0374,2024-03-31,South,3,1389.14,4167.42
O00129,C1824,P0055,2023-11-12,East,5,1542.07,7710.35
O00130,C0225,P0148,2024-10-09,East,5,586.27,2931.35
O00131,C1926,P0078,2023-10-29,East,3,494.72,1484.16
O00132,C0473,P0311,2023-11-22,West,4,1882.98,7531.92
O00133,C0691,P0334,2025-03-04,West,3,1832.73,5498.19
O00134,C0508,P0307,2024-01-21,South,5,1723.34,8616.7
O00135,C0023,P0019,2025-07-24,West,4,1545.87,6183.48
O00136,C0773,P0413,2024-08-16,North,4,475.4,1901.6
O00137,C0027,P0300,2025-08-05,West,1,523.02,523.02
O00138,C0267,P0237,2025-02-07,East,3,1888.21,5664.63
O00139,C1581,P0274,2025-06-04,North,2,271.57,543.14
O00140,C1976,P0040,2023-11-12,South,5,1410.03,7050.15
O00141,C1622,P0351,2024-06-02,North,3,1046.96,3140.88
O00142,C1007,P0063,2024-01-21,West,1,340.52,340.52
O00143,C1197,P0044,2025-03-04,West,5,1854.48,9272.4
O00144,C0870,P0149,2025-07-13,East,3,1098.52,3295.56
O00145,C1596,P0348,2025-07-06,East,5,1555.16,7775.8
O00146,C0740,P0417,2024-03-19,West,1,1267.01,1267.01
O00147,C1779,P0314,2024-08-07,West,5,1206.12,6030.6
O00148,C0425,P0288,2023-11-24,West,4,960.14,3840.56
O00149,C1741,P0164,2024-04-13,North,5,1994.2,9971.0
O00150,C0802,P0279,2025-07-17,West,4,1193.92,4775.68
O00151,C0220,P0122,2024-05-10,North,1,200.17,200.17
O00152,C0791,P0102,2025-06-11,West,5,1961.13,9805.65
O00153,C1839,P0336,2025-01-12,West,2,1642.17,3284.34
O00154,C0450,P0060,2024-11-28,South,5,1111.91,5559.55
O00155,C0288,P0441,2025-01-11,South,3,1966.82,5900.46
O00156,C1490,P0248,2025-02-02,East,5,1393.59,6967.95
O00157,C1293,P0141,2024-07-28,South,5,423.96,2119.8
O00158,C0737,P0047,2025-03-03,South,2,1764.06,3528.12
O00159,C1047,P0222,2025-06-21,North,2,1277.16,2554.32
O00160,C1892,P0479,2025-08-03,North,2,147.63,295.26
O00161,C0555,P0294,2024-08-09,West,1,851.14,851.14
O00162,C0626,P0477,2024-05-10,North,5,148.77,743.85
O00163,C0232,P0318,2024-11-09,East,4,74.65,298.6
O00164,C1729,P0291,2023-10-03,South,3,1931.6,5794.8
O00165,C0953,P0344,2024-03-06,West,5,161.43,807.15
O00166,C0197,P0030,2025-07-30,West,1,1460.11,1460.11
O00167,C0004,P0136,2025-05-30,South,4,1893.06,7572.24
O00168,C1030,P0401,2025-01-21,South,5,637.42,3187.1
O00169,C1328,P0274,2025-03-20,North,1,1058.02,1058.02
O00170,C1475,P0156,2025-02-27,East,5,957.63,4788.15
O00171,C1806,P0238,2024-09-04,West,3,1590.19,4770.57
O00172,C0863,P0288,2024-12-06,North,4,1380.87,5523.48
O00173,C1399,P0387,2025-06-03,East,2,1536.82,3073.64
O00174,C1494,P0195,2023-12-08,East,3,743.16,2229.48
O00175,C0752,P0216,2023-10-02,East,5,499.51,2497.55
O00176,C1818,P0489,2024-08-28,East,2,575.95,1151.9
O00177,C0954,P0474,2024-08-13,East,5,984.15,4920.75
O00178,C0932,P0239,2025-08-07,East,1,1006.0,1006.0
O00179,C1433,P0391,2025-07-03,North,1,1500.21,1500.21
O00180,C0316,P0068,2025-03-24,South,1,299.05,299.05
O00181,C0810,P0273,2025-02-28,South,3,1078.53,3235.59
O00182,C1505,P0316,2024-03-04,West,1,1796.63,1796.63
O00183,C0522,P0316,2024-01-23,East,3,1792.95,5378.85
O00184,C1319,P0259,2025-05-24,West,5,1722.09,8610.45
O00185,C0811,P0415,2024-09-11,South,4,802.75,3211.0
O00186,C0194,P0319,2025-01-15,East,1,974.86,974.86
O00187,C1039,P0475,2024-05-10,West,5,1990.23,9951.15
O00188,C0631,P0021,2024-12-31,North,3,1392.93,4178.79
O00189,C0735,P0257,2024-05-03,East,4,1695.48,6781.92
O00190,C0623,P0385,2025-08-16,West,4,1413.68,5654.72
O00191,C0280,P0134,2025-03-11,West,1,1147.31,1147.31
O00192,C1659,P0395,2025-01-14,West,1,55.04,55.04
O00193,C1878,P0046,2025-01-04,East,4,1734.42,6937.68
O00194,C1073,P0295,2023-09-10,South,3,599.86,1799.58
O00195,C0533,P0086,2023-12-30,East,4,1037.19,4148.76
O00196,C1652,P0254,2025-07-29,East,5,1134.82,5674.1
O00197,C1696,P0129,2024-09-14,West,3,224.99,674.97
O00198,C1388,P0059,2023-11-08,East,3,572.76,1718.28
O00199,C1445,P0316,2025-01-31,North,5,1664.51,8322.55
O00200,C0954,P0323,2024-01-29,North,5,612.93,3064.65
O00201,C0659,P0029,2025-08-13,East,1,58.08,58.08
O00202,C1529,P0472,2024-09-22,East,4,1563.69,6254.76
O00203,C0768,P0093,2024-03-11,North,3,362.11,1086.33
O00204,C1686,P0411,2024-04-22,West,5,154.13,770.65
O00205,C0007,P0156,2024-07-18,South,4,239.18,956.72
O00206,C1041,P0446,2025-05-21,East,2,785.6,1571.2
O00207,C0067,P0340,2025-01-23,North,2,219.38,438.76
O00208,C1852,P0130,2025-07-21,East,2,684.66,1369.32
O00209,C1471,P0367,2024-03-27,South,2,344.97,689.94
O00210,C0591,P0306,2024-11-22,West,5,178.38,891.9
O00211,C1369,P0479,2024-11-02,West,4,529.2,2116.8
O00212,C0762,P0087,2025-02-07,North,1,921.11,921.11
O00213,C1500,P0305,2023-12-28,North,3,580.06,1740.18
O00214,C1906,P0257,2024-11-18,West,4,1163.37,4653.48
O00215,C0476,P0164,2025-02-27,East,5,1687.94,8439.7
O00216,C0836,P0209,2023-12-29,North,4,1129.55,4518.2
O00217,C0680,P0261,2024-02-13,North,5,1660.29,8301.45
O00218,C0220,P0187,2024-03-14,North,3,768.37,2305.11
O00219,C0663,P0125,2023-09-04,North,4,1360.99,5443.96
O00220,C1361,P0148,2024-02-15,North,5,1897.43,9487.15
O00221,C1783,P0123,2024-07-02,North,3,1012.45,3037.35
O00222,C0052,P0236,2024-09-07,West,4,650.53,2602.12
O00223,C0108,P0464,2024-01-01,South,3,58.41,175.23
O00224,C0529,P0412,2025-05-04,North,3,1514.08,4542.24
O00225,C1177,P0280,2024-12-06,East,2,1401.53,2803.06
O00226,C0076,P0084,2025-01-20,South,3,1073.82,3221.46
O00227,C0256,P0141,2024-09-28,South,1,1245.39,1245.39
O00228,C0357,P0456,2025-01-06,East,1,1439.72,1439.72
O00229,C0986,P0122,2024-07-28,North,2,726.18,1452.36
O00230,C0532,P0321,2025-05-10,West,1,1307.02,1307.02
O00231,C1296,P0102,2025-03-30,West,5,402.92,2014.6
O00232,C1692,P0422,2025-04-27,West,1,308.47,308.47
O00233,C0404,P0120,2025-07-27,East,2,717.56,1435.12
O00234,C0956,P0279,2025-07-07,South,3,1629.7,4889.1
O00235,C1345,P0392,2024-10-21,South,2,1951.66,3903.32
O00236,C1821,P0173,2025-04-15,East,1,1420.35,1420.35
O00237,C0459,P0411,2024-09-14,East,5,531.41,2657.05
O00238,C1890,P0058,2024-12-23,North,4,1709.9,6839.6
O00239,C0868,P0160,2023-10-15,South,3,1905.25,5715.75
O00240,C1014,P0466,2025-02-19,West,4,1198.44,4793.76
O00241,C1380,P0486,2024-10-06,North,4,486.41,1945.64
O00242,C0678,P0265,2024-05-02,North,4,1516.22,6064.88
O00243,C1979,P0334,2025-04-19,South,4,1845.6,7382.4
O00244,C0198,P0345,2025-05-18,East,5,1412.3,7061.5
O00245,C0814,P0035,2025-05-23,North,3,294.86,884.58
O00246,C0488,P0269,2023-10-07,North,4,246.63,986.52
O00247,C1342,P0050,2024-02-09,West,2,1437.62,2875.24
O00248,C1967,P0401,2023-10-28,South,2,881.76,1763.52
O00249,C0792,P0339,2023-09-06,East,3,452.64,1357.92
O00250,C0600,P0134,2024-05-10,East,4,999.11,3996.44
O00251,C1276,P0116,2025-01-03,South,1,442.1,442.1
O00252,C0630,P0338,2024-04-12,South,5,638.81,3194.05
O00253,C1703,P0345,2025-05-13,North,3,1009.42,3028.26
O00254,C0824,P0460,2024-10-28,West,1,504.98,504.98
O00255,C0822,P0274,2025-02-03,West,2,577.04,1154.08
O00256,C0113,P0392,2024-08-26,North,5,1123.68,5618.4
O00257,C1285,P0301,2023-11-14,East,4,1007.8,4031.2
O00258,C0187,P0072,2025-04-11,West,1,577.65,577.65
O00259,C1086,P0404,2025-02-15,North,4,1256.2,5024.8
O00260,C0490,P0413,2024-06-13,South,1,1646.41,1646.41
O00261,C0660,P0174,2024-07-26,East,5,1545.38,7726.9
O00262,C0933,P0090,2025-08-27,South,1,1856.11,1856.11
O00263,C0029,P0234,2025-08-07,South,2,592.57,1185.14
O00264,C0872,P0406,2024-09-15,East,1,1485.35,1485.35
O00265,C1555,P0117,2024-04-30,South,1,1911.55,1911.55
O00266,C0302,P0228,2025-05-09,East,1,916.12,916.12
O00267,C0039,P0307,2025-07-28,East,3,1455.29,4365.87
O00268,C1530,P0308,2024-05-13,East,5,898.9,4494.5
O00269,C0768,P0089,2025-01-13,South,1,957.23,957.23
O00270,C0786,P0004,2024-02-27,East,1,1222.54,1222.54
O00271,C1694,P0052,2024-07-22,West,3,685.27,2055.81
O00272,C1103,P0256,2024-08-12,North,1,1623.19,1623.19
O00273,C0952,P0449,2024-05-21,West,3,1366.07,4098.21
O00274,C0827,P0091,2025-06-29,West,1,1716.93,1716.93
O00275,C0218,P0438,2024-02-02,South,2,1771.3,3542.6
O00276,C1436,P0213,2025-07-24,East,1,377.22,377.22
O00277,C1196,P0029,2024-05-16,West,4,1546.96,6187.84
O00278,C0137,P0198,2025-04-19,South,3,1807.05,5421.15
O00279,C0355,P0075,2023-11-13,West,2,1370.07,2740.14
O00280,C1567,P0236,2023-09-24,West,4,1922.62,7690.48
O00281,C0827,P0229,2025-08-12,West,1,601.99,601.99
O00282,C1599,P0206,2024-08-14,North,5,1574.7,7873.5
O00283,C0172,P0062,2023-12-03,South,2,415.23,830.46
O00284,C1061,P0174,2025-03-20,West,2,1890.67,3781.34
O00285,C1539,P0232,2024-10-19,West,1,1392.79,1392.79
O00286,C1684,P0052,2025-06-25,South,5,648.23,3241.15
O00287,C1360,P0489,2023-09-16,North,2,390.82,781.64
O00288,C0028,P0348,2023-10-08,South,2,55.85,111.7
O00289,C1841,P0132,2025-02-18,North,1,1190.03,1190.03
O00290,C0074,P0142,2024-10-31,East,3,754.47,2263.41
O00291,C1563,P0336,2025-07-27,West,5,929.97,4649.85
O00292,C1941,P0354,2024-05-26,South,2,259.72,519.44
O00293,C1636,P0345,2025-07-01,North,5,383.92,1919.6
O00294,C1333,P0298,2025-05-23,South,1,1584.96,1584.96
O00295,C0066,P0077,2025-06-13,West,2,246.28,492.56
O00296,C1453,P0314,2024-07-07,South,2,1906.18,3812.36
O00297,C1819,P0257,2023-09-12,East,5,1804.57,9022.85
O00298,C1352,P0097,2025-06-15,East,2,1497.49,2994.98
O00299,C1270,P0206,2024-05-10,South,4,1124.68,4498.72
O00300,C1280,P0216,2024-01-05,North,2,338.44,676.88
O00301,C1230,P0403,2025-02-24,North,5,683.82,3419.1
O00302,C0366,P0400,2023-10-03,East,1,1765.53,1765.53
O00303,C0857,P0328,2024-11-19,East,5,1167.84,5839.2
O00304,C0885,P0317,2025-02-11,North,4,1442.05,5768.2
O00305,C1578,P0484,2025-03-22,West,2,1208.86,2417.72
O00306,C0144,P0266,2024-04-03,East,5,1343.41,6717.05
O00307,C1265,P0180,2023-10-18,West,3,487.0,1461.0
O00308,C1296,P0048,2024-12-29,East,3,279.66,838.98
O00309,C0711,P0015,2025-02-18,East,1,1836.37,1836.37
O00310,C1672,P0308,2024-04-21,East,4,111.96,447.84
O00311,C1527,P0101,2025-01-01,North,1,67.56,67.56
O00312,C1422,P0325,2024-03-17,East,2,785.56,1571.12
O00313,C1843,P0262,2024-04-21,North,5,283.91,1419.55
O00314,C1278,P0348,2024-11-12,South,1,690.89,690.89
O00315,C1875,P0176,2024-04-12,West,1,610.29,610.29
O00316,C0500,P0382,2023-11-27,East,5,716.78,3583.9
O00317,C0351,P0297,2025-02-14,West,2,134.45,268.9
O00318,C0702,P0163,2025-07-16,South,1,194.43,194.43
O00319,C1641,P0245,2025-05-02,West,2,504.71,1009.42
O00320,C0944,P0109,2025-02-07,West,3,1423.25,4269.75
O00321,C0651,P0261,2023-10-28,North,1,654.52,654.52
O00322,C0028,P0308,2025-05-14,North,5,1569.13,7845.65
O00323,C0608,P0077,2025-02-23,East,5,1519.52,7597.6
O00324,C0022,P0399,2024-12-07,South,2,1471.78,2943.56
O00325,C0161,P0431,2024-08-13,West,1,1586.34,1586.34
O00326,C1022,P0173,2025-01-13,South,3,234.01,702.03
O00327,C0114,P0206,2023-09-21,South,1,1806.0,1806.0
O00328,C1374,P0109,2023-12-25,West,5,113.81,569.05
O00329,C1185,P0159,2023-12-11,West,5,135.09,675.45
O00330,C0031,P0254,2023-10-14,West,5,510.34,2551.7
O00331,C1356,P0282,2024-07-25,South,1,681.19,681.19
O00332,C1120,P0343,2024-10-31,West,2,541.41,1082.82
O00333,C1334,P0443,2024-09-07,East,4,1303.92,5215.68
O00334,C1773,P0046,2024-06-28,South,2,925.96,1851.92
O00335,C1249,P0059,2024-03-13,East,1,1149.74,1149.74
O00336,C0969,P0063,2025-06-17,East,1,1075.82,1075.82
O00337,C1913,P0375,2024-11-25,North,3,456.87,1370.61
O00338,C1409,P0454,2024-10-17,South,5,1953.85,9769.25
O00339,C0413,P0046,2024-05-27,North,1,1008.63,1008.63
O00340,C0079,P0408,2024-12-06,West,4,1519.12,6076.48
O00341,C1784,P0477,2024-12-27,East,5,443.51,2217.55
O00342,C0541,P0394,2025-06-17,South,4,773.93,3095.72
O00343,C1727,P0344,2025-01-08,North,4,245.46,981.84
O00344,C1845,P0410,2024-05-05,North,1,766.14,766.14
O00345,C0356,P0465,2024-07-27,East,5,656.47,3282.35
O00346,C1034,P0072,2024-05-30,North,5,1591.88,7959.4
O00347,C1821,P0442,2024-02-09,South,2,938.23,1876.46
O00348,C0205,P0294,2024-12-17,West,3,517.97,1553.91
O00349,C0351,P0362,2023-09-05,East,3,1938.77,5816.31
O00350,C0164,P0062,2025-02-25,South,1,901.4,901.4
O00351,C1328,P0393,2024-06-09,East,5,1946.17,9730.85
O00352,C0586,P0349,2024-01-31,East,4,1959.09,7836.36
O00353,C1819,P0035,2024-09-12,South,2,149.24,298.48
O00354,C0695,P0463,2025-04-26,East,5,1428.07,7140.35
O00355,C1536,P0216,2025-04-23,West,2,1835.77,3671.54
O00356,C1475,P0433,2023-11-26,North,1,640.6,640.6
O00357,C0631,P0195,2023-09-11,East,2,1504.2,3008.4
O00358,C1125,P0435,2024-02-12,South,2,920.51,1841.02
O00359,C1069,P0425,2024-10-04,West,3,1471.49,4414.47
O00360,C0269,P0278,2025-05-06,South,5,837.36,4186.8
O00361,C1540,P0246,2025-08-21,South,2,1244.81,2489.62
O00362,C0253,P0245,2025-03-15,South,4,540.79,2163.16
O00363,C0703,P0398,2023-09-16,North,1,462.01,462.01
O00364,C1048,P0174,2024-03-10,West,5,913.91,4569.55
O00365,C0886,P0475,2023-10-31,North,5,374.1,1870.5
O00366,C1746,P0400,2024-10-07,East,4,1489.05,5956.2
O00367,C1118,P0461,2023-12-24,East,4,971.73,3886.92
O00368,C0471,P0332,2024-11-23,North,4,508.52,2034.08
O00369,C1125,P0297,2024-07-08,East,1,1566.29,1566.29
O00370,C1560,P0014,2024-07-09,North,5,275.89,1379.45
O00371,C0967,P0039,2025-06-05,West,4,882.39,3529.56
O00372,C1471,P0395,2025-03-25,West,5,1498.42,7492.1
O00373,C1051,P0235,2025-02-24,North,2,556.89,1113.78
O00374,C1716,P0131,2025-01-01,East,2,1745.28,3490.56
O00375,C0400,P0285,2024-08-26,South,4,660.13,2640.52
O00376,C0079,P0304,2024-02-19,West,3,1690.31,5070.93
O00377,C0973,P0092,2024-02-09,West,4,1190.1,4760.4
O00378,C1228,P0434,2023-11-05,East,3,1750.81,5252.43
O00379,C1544,P0016,2024-07-08,South,4,1404.65,5618.6
O00380,C0299,P0317,2023-10-31,South,5,1916.91,9584.55
O00381,C0748,P0370,2024-06-04,East,2,1488.18,2976.36
O00382,C0439,P0040,2024-07-16,North,5,1138.29,5691.45
O00383,C1608,P0302,2024-02-28,South,1,1357.13,1357.13
O00384,C1163,P0052,2025-07-17,West,5,154.63,773.15
O00385,C1649,P0087,2025-03-12,North,3,1382.16,4146.48
O00386,C0070,P0362,2024-11-11,West,5,436.0,2180.0
O00387,C1528,P0158,2024-10-03,South,5,1851.79,9258.95
O00388,C1376,P0215,2025-08-19,North,5,1076.36,5381.8
O00389,C0150,P0255,2024-03-28,South,2,140.45,280.9
O00390,C1333,P0481,2025-03-09,West,2,1183.6,2367.2
O00391,C1429,P0026,2025-04-26,North,3,1113.61,3340.83
O00392,C0398,P0186,2023-10-13,West,2,177.68,355.36
O00393,C1577,P0339,2024-07-04,South,5,1341.6,6708.0
O00394,C0331,P0092,2023-10-07,North,2,889.83,1779.66
O00395,C1743,P0075,2024-10-07,West,5,1214.87,6074.35
O00396,C0767,P0259,2024-06-04,East,1,66.87,66.87
O00397,C0860,P0015,2024-05-19,West,1,1855.11,1855.11
O00398,C1795,P0030,2025-08-06,East,2,1383.0,2766.0
O00399,C1030,P0495,2024-12-18,North,1,840.99,840.99
O00400,C1065,P0246,2024-02-07,West,5,585.38,2926.9
O00401,C0798,P0168,2023-10-14,South,4,597.87,2391.48
O00402,C1142,P0287,2023-12-05,West,5,1780.69,8903.45
O00403,C1038,P0415,2024-06-10,North,3,501.13,1503.39
O00404,C1565,P0161,2025-05-11,South,1,1573.0,1573.0
O00405,C0154,P0313,2023-11-20,East,4,942.86,3771.44
O00406,C0451,P0049,2024-01-08,East,5,1979.54,9897.7
O00407,C0654,P0302,2023-11-23,North,5,494.85,2474.25
O00408,C0639,P0342,2024-11-23,South,4,1719.65,6878.6
O00409,C1418,P0138,2025-05-31,North,4,1077.15,4308.6
O00410,C0785,P0155,2025-03-06,East,3,1336.86,4010.58
O00411,C0714,P0016,2024-08-12,North,1,499.89,499.89
O00412,C0248,P0258,2024-06-04,North,3,1650.33,4950.99
O00413,C1606,P0397,2025-03-31,South,2,1207.46,2414.92
O00414,C0906,P0262,2025-01-04,West,2,1312.75,2625.5
O00415,C0096,P0410,2024-07-15,West,2,711.78,1423.56
O00416,C1706,P0422,2023-11-13,North,3,1626.94,4880.82
O00417,C0501,P0210,2024-02-07,South,1,1804.4,1804.4
O00418,C0913,P0374,2024-11-13,North,4,1059.05,4236.2
O00419,C1059,P0213,2025-06-24,East,4,677.97,2711.88
O00420,C0489,P0085,2023-09-23,South,4,1395.84,5583.36
O00421,C0995,P0447,2024-02-23,South,1,1719.41,1719.41
O00422,C0879,P0182,2024-07-19,South,1,1404.71,1404.71
O00423,C1068,P0398,2024-04-01,North,5,890.01,4450.05
O00424,C1446,P0335,2025-04-02,South,3,885.53,2656.59
O00425,C0861,P0452,2024-07-31,North,5,1913.73,9568.65
O00426,C1710,P0086,2024-09-08,East,4,780.97,3123.88
O00427,C0064,P0075,2024-09-05,West,4,880.19,3520.76
O00428,C1097,P0452,2024-03-03,West,2,1041.57,2083.14
O00429,C0664,P0091,2024-01-20,South,5,1051.21,5256.05
O00430,C0434,P0023,2025-06-22,West,5,64.94,324.7
